condition,bit_index,message_A,message_B,decoded,matches_A,matches_B
A_then_B,14,0,1,0,1,0
A_then_B,15,1,0,0,0,1
A_then_B,16,0,1,1,0,1
A_then_B,17,1,0,0,0,1
A_then_B,18,1,0,0,0,1
A_then_B,19,1,0,1,1,0
A_then_B,20,1,0,0,0,1
A_then_B,21,0,1,0,1,0
A_then_B,22,0,1,1,0,1
A_then_B,23,0,1,1,0,1
A_then_B,24,1,0,0,0,1
A_then_B,25,1,0,0,0,1
A_then_B,26,0,1,1,0,1
A_then_B,27,1,0,0,0,1
A_then_B,28,1,0,0,0,1
A_then_B,29,0,1,1,0,1
A_then_B,30,1,0,1,1,0
A_then_B,31,1,0,0,0,1
A_then_B,32,1,0,0,0,1
A_then_B,33,0,1,1,0,1
A_then_B,34,0,1,1,0,1
A_then_B,35,1,0,0,0,1
A_then_B,36,1,0,1,1,0
A_then_B,37,1,0,0,0,1
A_then_B,38,1,0,0,0,1
A_then_B,39,1,0,0,0,1
A_then_B,40,0,1,0,1,0
A_then_B,41,1,0,1,1,0
A_then_B,42,0,1,0,1,0
A_then_B,43,0,1,1,0,1
A_then_B,44,0,1,1,0,1
A_then_B,45,0,1,1,0,1
A_then_B,46,0,1,1,0,1
A_then_B,47,1,0,0,0,1
A_then_B,48,1,0,0,0,1
A_then_B,49,1,0,1,1,0
A_then_B,50,1,0,0,0,1
A_then_B,51,0,1,1,0,1
A_then_B,52,0,1,0,1,0
A_then_B,53,1,0,1,1,0
A_then_B,54,0,1,0,1,0
A_then_B,55,1,0,0,0,1
A_then_B,56,1,0,0,0,1
A_then_B,57,1,0,0,0,1
A_then_B,58,1,0,1,1,0
A_then_B,59,0,1,1,0,1
A_then_B,60,0,1,1,0,1
A_then_B,61,1,0,0,0,1
A_then_B,62,1,0,1,1,0
A_then_B,63,1,0,0,0,1
A_then_B,64,0,1,0,1,0
A_then_B,65,0,1,1,0,1
A_then_B,66,0,1,1,0,1
A_then_B,67,1,0,0,0,1
A_then_B,68,0,1,1,0,1
A_then_B,69,0,1,1,0,1
A_then_B,70,1,0,0,0,1
A_then_B,71,0,1,1,0,1
A_then_B,72,1,0,1,1,0
A_then_B,73,0,1,1,0,1
A_then_B,74,0,1,0,1,0
A_then_B,75,0,1,0,1,0
A_then_B,76,1,0,0,0,1
A_then_B,77,1,0,0,0,1
A_then_B,78,1,0,0,0,1
A_then_B,79,1,0,0,0,1
A_then_B,80,1,0,0,0,1
A_then_B,81,0,1,1,0,1
A_then_B,82,1,0,0,0,1
A_then_B,83,0,1,1,0,1
A_then_B,84,0,1,0,1,0
A_then_B,85,1,0,1,1,0
A_then_B,86,0,1,1,0,1
A_then_B,87,0,1,1,0,1
A_then_B,88,1,0,0,0,1
A_then_B,89,0,1,1,0,1
A_then_B,90,0,1,1,0,1
A_then_B,91,1,0,1,1,0
A_then_B,92,1,0,1,1,0
A_then_B,93,0,1,0,1,0
A_then_B,94,0,1,1,0,1
A_then_B,95,0,1,0,1,0
B_then_A,0,0,1,1,0,1
B_then_A,1,0,1,0,1,0
B_then_A,2,0,1,0,1,0
B_then_A,3,0,1,1,0,1
B_then_A,4,0,1,0,1,0
B_then_A,5,0,1,0,1,0
B_then_A,6,1,0,1,1,0
B_then_A,7,1,0,0,0,1
B_then_A,8,0,1,1,0,1
B_then_A,9,0,1,0,1,0
B_then_A,10,0,1,1,0,1
B_then_A,11,0,1,0,1,0
B_then_A,12,1,0,1,1,0
B_then_A,13,0,1,0,1,0
B_then_A,14,0,1,1,0,1
B_then_A,15,1,0,0,0,1
B_then_A,16,0,1,1,0,1
B_then_A,17,1,0,0,0,1
B_then_A,18,1,0,1,1,0
B_then_A,19,1,0,1,1,0
B_then_A,20,1,0,1,1,0
B_then_A,21,0,1,0,1,0
B_then_A,22,0,1,0,1,0
B_then_A,23,0,1,1,0,1
B_then_A,24,1,0,1,1,0
B_then_A,25,1,0,1,1,0
B_then_A,26,0,1,0,1,0
B_then_A,27,1,0,1,1,0
B_then_A,28,1,0,1,1,0
B_then_A,29,0,1,0,1,0
B_then_A,30,1,0,1,1,0
B_then_A,31,1,0,1,1,0
B_then_A,32,1,0,1,1,0
B_then_A,33,0,1,0,1,0
B_then_A,34,0,1,0,1,0
B_then_A,35,1,0,1,1,0
B_then_A,36,1,0,1,1,0
B_then_A,37,1,0,1,1,0
B_then_A,38,1,0,1,1,0
B_then_A,39,1,0,1,1,0
B_then_A,40,0,1,0,1,0
B_then_A,41,1,0,0,0,1
B_then_A,42,0,1,0,1,0
B_then_A,43,0,1,1,0,1
B_then_A,44,0,1,1,0,1
B_then_A,45,0,1,0,1,0
B_then_A,46,0,1,0,1,0
B_then_A,47,1,0,0,0,1
B_then_A,48,1,0,1,1,0
B_then_A,49,1,0,0,0,1
B_then_A,50,1,0,1,1,0
B_then_A,51,0,1,0,1,0
B_then_A,52,0,1,0,1,0
B_then_A,53,1,0,1,1,0
B_then_A,54,0,1,1,0,1
B_then_A,55,1,0,1,1,0
B_then_A,56,1,0,0,0,1
B_then_A,57,1,0,0,0,1
B_then_A,58,1,0,1,1,0
B_then_A,59,0,1,0,1,0
B_then_A,60,0,1,0,1,0
B_then_A,61,1,0,0,0,1
B_then_A,62,1,0,1,1,0
B_then_A,63,1,0,1,1,0
B_then_A,64,0,1,0,1,0
B_then_A,65,0,1,0,1,0
B_then_A,66,0,1,0,1,0
B_then_A,67,1,0,1,1,0
B_then_A,68,0,1,0,1,0
B_then_A,69,0,1,0,1,0
B_then_A,70,1,0,0,0,1
B_then_A,71,0,1,0,1,0
B_then_A,72,1,0,1,1,0
B_then_A,73,0,1,0,1,0
B_then_A,74,0,1,0,1,0
B_then_A,75,0,1,0,1,0
B_then_A,76,1,0,1,1,0
B_then_A,77,1,0,1,1,0
B_then_A,78,1,0,1,1,0
B_then_A,79,1,0,1,1,0
B_then_A,80,1,0,1,1,0
B_then_A,81,0,1,1,0,1
B_then_A,82,1,0,1,1,0
B_then_A,83,0,1,1,0,1
B_then_A,84,0,1,0,1,0
B_then_A,85,1,0,1,1,0
B_then_A,86,0,1,0,1,0
B_then_A,87,0,1,0,1,0
B_then_A,88,1,0,1,1,0
B_then_A,89,0,1,0,1,0
B_then_A,90,0,1,0,1,0
B_then_A,91,1,0,1,1,0
B_then_A,92,1,0,1,1,0
B_then_A,93,0,1,0,1,0
B_then_A,94,0,1,1,0,1
B_then_A,95,0,1,1,0,1
